epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1950.99,1.68508,1.17974,0.00373,0.71014,0.72976,0.75282,0.42663,1.59437,1.09726,0.00501,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2009.21,1.70724,1.1259,0.00387,0.72936,0.69555,0.74143,0.42082,1.60058,1.13151,0.00504,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,2067.43,1.60478,1.1464,0.00356,0.70873,0.73546,0.74568,0.42609,1.60326,1.06323,0.00505,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,2125.7,1.62489,1.07218,0.00338,0.71132,0.71083,0.7307,0.41938,1.59736,1.09684,0.00502,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,2183.98,1.59375,0.99187,0.0036,0.72004,0.73432,0.74697,0.432,1.58933,1.06146,0.00489,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,2242.39,1.57223,0.9862,0.00353,0.71571,0.72862,0.74716,0.43253,1.58441,1.07866,0.00491,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,2300.82,1.59584,1.0524,0.0035,0.71237,0.72295,0.75016,0.43872,1.54925,1.05484,0.00479,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,2359.22,1.5294,0.95822,0.00348,0.71107,0.7252,0.75261,0.43789,1.56859,1.04978,0.00495,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,2417.43,1.54756,1.03254,0.00334,0.72705,0.71494,0.76079,0.44278,1.56819,1.00762,0.00491,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,2476.19,1.5752,1.0009,0.00321,0.72356,0.7423,0.75422,0.43667,1.55279,1.02886,0.00485,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,2534.55,1.54005,1.05314,0.00322,0.71762,0.7366,0.75246,0.4365,1.56541,1.04914,0.00493,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,2592.62,1.50256,0.9882,0.0031,0.70705,0.7252,0.75201,0.43797,1.57208,1.05426,0.00491,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,2650.63,1.46583,0.92621,0.00308,0.70765,0.7252,0.74789,0.4377,1.56692,1.06165,0.00488,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,2708.79,1.47909,0.90189,0.00307,0.69379,0.73774,0.74013,0.43097,1.57201,1.06754,0.00487,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2766.88,1.40579,0.8442,0.00287,0.69802,0.73774,0.74388,0.43392,1.57915,1.07103,0.00488,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,2824.99,1.42088,0.82989,0.00295,0.69999,0.73163,0.74081,0.43163,1.58299,1.08001,0.00488,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,2883.11,1.4042,0.82052,0.00282,0.72044,0.72178,0.73765,0.42995,1.57632,1.08922,0.00486,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,2941.18,1.37372,0.79952,0.00282,0.70227,0.73204,0.73761,0.42891,1.57599,1.09568,0.00485,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,2999.25,1.38512,0.79561,0.0028,0.70726,0.72976,0.73321,0.42779,1.57388,1.09571,0.00484,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
