epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/person,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.10601526498794556,0.3206798732280731,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,92.57925415039062,0.23896844685077667,0.10637418180704117,0.4625997841358185,9.15555477142334,0.023290134966373444,0.023867379873991013,0.024587905034422874,0.02308843657374382,0.024995246902108192,1.1431375741958618,1.149522304534912,1.1406036615371704,1.1497738361358643,1.061346411705017,0.27890267968177795,0.2962174713611603,0.2858791649341583,0.283417671918869,0.3115966022014618,0.23536942899227142,0.10601526498794556,0.0742991641163826,0.47924742102622986,0.31869369745254517,0.3226909935474396
0,13,17.186508178710938,16.66666603088379,17.16666603088379,17.408729553222656,16.23015785217285,99.70723724365234,9.696395874023438,0.03558601066470146,0.037226881831884384,0.0361802838742733,0.035917799919843674,0.03821089118719101,1.0954796075820923,1.1258403062820435,1.0967837572097778,1.1060421466827393,1.0778812170028687,0.3203449547290802,0.3323865234851837,0.32051998376846313,0.3225230574607849,0.3436049818992615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,0.13176767528057098,0.35647016763687134,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,14.616666793823242,0.0,0.2949031591415405,0.1355256587266922,0.5353477597236633,8.876704216003418,0.022921890020370483,0.024244021624326706,0.02346191368997097,0.022913653403520584,0.025085574015975,1.0489286184310913,0.9893622994422913,1.0135188102722168,1.0047476291656494,1.1088693141937256,0.3046024739742279,0.3083946406841278,0.3089112937450409,0.3048100769519806,0.3323522210121155,0.28902292251586914,0.13176767528057098,0.09632890671491623,0.5364880561828613,0.25678393244743347,0.5826681852340698
1,27,11.158730506896973,11.158730506896973,11.158730506896973,11.158730506896973,11.158730506896973,20.18952178955078,9.32966423034668,0.02830488421022892,0.03040008805692196,0.029636142775416374,0.02917362004518509,0.030811959877610207,1.1110634803771973,1.087623119354248,1.0968616008758545,1.1016931533813477,1.079529047012329,0.29921385645866394,0.31474727392196655,0.30747994780540466,0.3082546293735504,0.3259350657463074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41,,,,,,,,,,,,,,,,,,,,,,,,,,0.3095196485519409,0.6104109883308411,9.166666984558105,14.616666793823242,14.550000190734863,10.899999618530273,14.616666793823242,0.0,0.6015204191207886,0.30460041761398315,0.5166476368904114,8.414498329162598,0.025330331176519394,0.02493193745613098,0.025105711072683334,0.02526974119246006,0.02858218550682068,0.8077429533004761,0.9358192086219788,0.845799446105957,0.8218560814857483,0.9158303141593933,0.3465263545513153,0.32128259539604187,0.346049427986145,0.34247180819511414,0.36434510350227356,0.6086567640304565,0.3095196485519409,0.29201698303222656,0.5213226675987244,0.5875527262687683,0.6351197361946106
2,41,12.214285850524902,10.460317611694336,10.44444465637207,12.079364776611328,10.460317611694336,0.013081596232950687,8.680773735046387,0.02753935381770134,0.026608511805534363,0.026722457259893417,0.02735861763358116,0.02837126888334751,0.9146825671195984,0.9997555017471313,0.9521380662918091,0.9258274435997009,1.065996527671814,0.31688055396080017,0.3001713752746582,0.30793607234954834,0.3139078915119171,0.3307907283306122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55,,,,,,,,,,,,,,,,,,,,,,,,,,0.36650046706199646,0.682196319103241,7.833333492279053,14.233333587646484,9.050000190734863,7.616666793823242,10.416666984558105,0.0,0.6858393549919128,0.36658188700675964,0.5655644536018372,8.031078338623047,0.024884402751922607,0.025038039311766624,0.026931246742606163,0.025843726471066475,0.028737636283040047,0.7769712209701538,0.8919788599014282,0.7835416197776794,0.7833418250083923,0.8298150300979614,0.3216622769832611,0.3192767798900604,0.332156240940094,0.3227311968803406,0.35830071568489075,0.6885254383087158,0.36650046706199646,0.3566155731678009,0.562257707118988,0.6641468405723572,0.7012542486190796
3,55,46.619049072265625,9.916666984558105,25.059524536132812,37.257938385009766,8.13888931274414,-1.180739673145581e-06,8.510262489318848,0.030277857556939125,0.031334057450294495,0.032126929610967636,0.03160960227251053,0.035537898540496826,0.8062843084335327,0.9216071367263794,0.830641508102417,0.8129308819770813,0.8951981663703918,0.33858177065849304,0.33169376850128174,0.3438517153263092,0.3398430645465851,0.3656140863895416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,69,,,,,,,,,,,,,,,,,,,,,,,,,,0.3786541223526001,0.6929729580879211,5.2166666984558105,9.649999618530273,6.333333492279053,5.933333396911621,8.800000190734863,0.0,0.7007411122322083,0.3808576762676239,0.5630558729171753,7.795190811157227,0.023068182170391083,0.023294031620025635,0.023735906928777695,0.023301338776946068,0.025626467540860176,0.7740471959114075,0.8362115025520325,0.781305730342865,0.7729419469833374,0.7998263835906982,0.3137916326522827,0.32082632184028625,0.32200735807418823,0.3179910480976105,0.3432479500770569,0.6985470056533813,0.3786541223526001,0.3668960928916931,0.5616875886917114,0.6587872505187988,0.7309008240699768
4,69,70.88095092773438,17.289682388305664,63.71825408935547,68.53571319580078,35.591270446777344,0.0018306913552805781,7.974403381347656,0.026828080415725708,0.029213758185505867,0.02897343970835209,0.027640556916594505,0.032654326409101486,0.7827410101890564,0.8782428503036499,0.7988895177841187,0.7900159955024719,0.8577216267585754,0.30872809886932373,0.30901554226875305,0.3117663264274597,0.309103786945343,0.3315070867538452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,83,,,,,,,,,,,,,,,,,,,,,,,,,,0.37144380807876587,0.693235456943512,7.5,9.350000381469727,8.083333015441895,7.800000190734863,7.849999904632568,0.0,0.708480715751648,0.37947919964790344,0.5441277027130127,7.719061374664307,0.024255985394120216,0.0244589913636446,0.023523369804024696,0.023371536284685135,0.02583032101392746,0.7528130412101746,0.7970653176307678,0.7648876309394836,0.7625260949134827,0.7834837436676025,0.3237387537956238,0.3224419355392456,0.3233938217163086,0.31901201605796814,0.3369556963443756,0.7044397592544556,0.37144380807876587,0.33915749192237854,0.531699001789093,0.6417475938796997,0.7537057995796204
5,83,65.38491821289062,39.41666793823242,56.75396728515625,63.86507797241211,46.623016357421875,0.014604568481445312,8.132535934448242,0.028265969827771187,0.03137749060988426,0.030507616698741913,0.028957217931747437,0.0344676598906517,0.7808428406715393,0.8313443064689636,0.7905087471008301,0.7865839004516602,0.809749186038971,0.3274160623550415,0.3366475999355316,0.33386024832725525,0.3285198211669922,0.3563694953918457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
