epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/person,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
4,69,66.22222137451172,15.670635223388672,62.19841384887695,63.44047546386719,29.11111068725586,0.0072709945961833,8.097550392150879,0.027861537411808968,0.03112317994236946,0.0304676815867424,0.029265055432915688,0.03391953557729721,0.7913088202476501,0.8773908019065857,0.8020759224891663,0.8004026412963867,0.8566617965698242,0.31580522656440735,0.3154701888561249,0.3184243142604828,0.3151487410068512,0.3384143114089966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,83,,,,,,,,,,,,,,,,,,,,,,,,,,0.3897090256214142,0.7114537358283997,6.683333396911621,9.399999618530273,6.433333396911621,7.166666507720947,7.550000190734863,0.0,0.7197512984275818,0.3899485766887665,0.5728620290756226,7.417599201202393,0.020433105528354645,0.020756661891937256,0.0209253691136837,0.01962209679186344,0.022687353193759918,0.7621333599090576,0.8029016256332397,0.7682963013648987,0.7685405611991882,0.7877956032752991,0.2956935167312622,0.29713791608810425,0.3016000986099243,0.29373112320899963,0.3147408068180084,0.7204395532608032,0.3897090256214142,0.3780462443828583,0.5680729746818542,0.6879659295082092,0.7366020679473877
5,83,63.869049072265625,40.341270446777344,59.5396842956543,60.57143020629883,43.77381134033203,0.013465972617268562,7.7490949630737305,0.02355925552546978,0.026940200477838516,0.02557586133480072,0.02419362962245941,0.03022480383515358,0.7794622778892517,0.8278762698173523,0.782892644405365,0.7819916605949402,0.8145725131034851,0.3004915416240692,0.31254976987838745,0.3098640441894531,0.3024810254573822,0.32952895760536194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,97,,,,,,,,,,,,,,,,,,,,,,,,,,0.39183279871940613,0.7108168005943298,5.666666507720947,8.583333015441895,6.983333110809326,6.083333492279053,5.2166666984558105,0.0,0.7210273146629333,0.3949127495288849,0.574800431728363,7.327972412109375,0.01918848045170307,0.020335959270596504,0.019966477528214455,0.01935696043074131,0.02386351302266121,0.7582662105560303,0.7943632006645203,0.7655525803565979,0.7621461749076843,0.7920718789100647,0.28824853897094727,0.29331302642822266,0.2920756936073303,0.2883644104003906,0.3090066611766815,0.7217518091201782,0.39183279871940613,0.3856531083583832,0.5665906667709351,0.688770055770874,0.7343215346336365
6,97,68.0,46.68254089355469,63.265872955322266,64.9920654296875,59.27777862548828,-1.180739673145581e-06,7.5897040367126465,0.02136385813355446,0.02292696200311184,0.021837949752807617,0.02158857323229313,0.02587149292230606,0.7874338030815125,0.8153980374336243,0.7912515997886658,0.787889838218689,0.8081827163696289,0.29440563917160034,0.30371078848838806,0.2984890639781952,0.29600849747657776,0.3231874704360962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,99,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,111,,,,,,,,,,,,,,,,,,,,,,,,,,0.40107303857803345,0.7104511857032776,8.033333778381348,9.716666221618652,8.850000381469727,8.233333587646484,8.233333587646484,0.0,0.7256730198860168,0.40094149112701416,0.567274808883667,7.292662143707275,0.019229261204600334,0.020343367010354996,0.019354771822690964,0.0191268902271986,0.022993970662355423,0.7603765726089478,0.7970111966133118,0.7735868692398071,0.76454758644104,0.77982497215271,0.2860351800918579,0.2887323200702667,0.2869499921798706,0.2864665389060974,0.30785244703292847,0.7270813584327698,0.40107303857803345,0.4012964963912964,0.5661345720291138,0.711670458316803,0.7092360258102417
7,111,73.18254089355469,53.154762268066406,66.63095092773438,70.84920501708984,65.36904907226562,-6.35782896551973e-07,7.4819841384887695,0.020938828587532043,0.022129837423563004,0.021391240879893303,0.02107890695333481,0.024659553542733192,0.7771848440170288,0.806705892086029,0.7813682556152344,0.7796075344085693,0.7981361746788025,0.29010894894599915,0.2985617220401764,0.29700618982315063,0.2925810217857361,0.31573715806007385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,125,,,,,,,,,,,,,,,,,,,,,,,,,,0.40852922201156616,0.7196750044822693,7.366666793823242,8.883333206176758,7.866666793823242,7.866666793823242,7.449999809265137,0.0,0.7340242862701416,0.4105442464351654,0.5792474150657654,7.1564555168151855,0.018746213987469673,0.019647223874926567,0.01910005696117878,0.018548214808106422,0.021129578351974487,0.7564443349838257,0.7803624868392944,0.7642355561256409,0.7645528316497803,0.7690410614013672,0.27645865082740784,0.28700700402259827,0.28022104501724243,0.2750878632068634,0.2992071509361267,0.7368435263633728,0.40852922201156616,0.40985268354415894,0.5803877115249634,0.7328605055809021,0.7069555521011353
8,125,69.59127044677734,56.63888931274414,64.6547622680664,69.13888549804688,61.05952453613281,-9.990874332288513e-07,7.356196880340576,0.021366430446505547,0.0233070757240057,0.022490713745355606,0.02180696278810501,0.02572805993258953,0.7672715187072754,0.79338139295578,0.7683009505271912,0.769841730594635,0.7796217799186707,0.28051814436912537,0.29303446412086487,0.28915998339653015,0.28276553750038147,0.30666404962539673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
